gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.8,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=0.9,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.1,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.2,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.3,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.4,N=e6.csv;rej_b=0.001;n=2e+02
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=1e+01
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=2e+01
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=3e+01
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=5e+01
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=1e+02
gev-mu=70,alpha=10,gamma=1.5,N=e6.csv;rej_b=0.001;n=2e+02
