
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
L-moments,mu=69.47395077,alpha=9.93743076,gamma=-0.01784859,n=200

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.09717679,alpha=12.21200486,gamma=0.13818878,n=10
MLE,mu=60.60273129,alpha=4.17980408,gamma=7.84081597,n=10
PWM,mu=83.45560941,alpha=3.58340062,gamma=-3.04080440,n=10
L-moments,mu=70.49412055,alpha=11.45043538,gamma=0.00756898,n=10

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.10137802,alpha=13.74480210,gamma=0.12217592,n=15
MLE,mu=69.01763971,alpha=10.83232433,gamma=0.18299611,n=15
PWM,mu=78.49926178,alpha=15.75965814,gamma=-1.17506224,n=15
L-moments,mu=69.10992358,alpha=12.31474868,gamma=0.08417691,n=15

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.85481771,alpha=10.35078903,gamma=0.24379449,n=20
MLE,mu=68.15772745,alpha=8.94450280,gamma=0.20439670,n=20
PWM,mu=74.01062860,alpha=14.44414550,gamma=-0.78214795,n=20
L-moments,mu=67.91127013,alpha=9.32224558,gamma=0.18532559,n=20

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.53030132,alpha=8.46891967,gamma=0.24613676,n=30
MLE,mu=67.95235939,alpha=8.13939228,gamma=0.14698282,n=30
PWM,mu=71.42101585,alpha=12.26919485,gamma=-0.53778916,n=30
L-moments,mu=67.74679290,alpha=8.26597625,gamma=0.15269262,n=30

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=68.04200534,alpha=9.48723785,gamma=0.14435048,n=50
MLE,mu=67.95879936,alpha=8.30628997,gamma=0.18903200,n=50
PWM,mu=69.92567949,alpha=11.51598027,gamma=-0.21604344,n=50
L-moments,mu=67.99333929,alpha=8.66694170,gamma=0.15116082,n=50

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.93085475,alpha=10.25187268,gamma=0.08056855,n=100
MLE,mu=68.80142587,alpha=9.41586215,gamma=0.12016628,n=100
PWM,mu=69.84132838,alpha=11.28402381,gamma=-0.08728185,n=100
L-moments,mu=68.89313719,alpha=9.82515975,gamma=0.08417103,n=100

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=1.5e+02
VWLS,mu=69.23749212,alpha=10.50214518,gamma=0.04192623,n=150
MLE,mu=68.96214142,alpha=9.49463154,gamma=0.11171335,n=150
PWM,mu=69.64742814,alpha=10.80878084,gamma=-0.02924619,n=150
